module,file,line,operation,has_repo,risk_level
platform-companies,server/services/CompanyService.js,288,UPDATE,yes,low
platform-companies,server/services/CompanyService.js,317,UPDATE,yes,low
platform-companies,server/services/CompanyService.sequelize.js,198,UPDATE,yes,low
platform-companies,server/services/CompanyService.sequelize.js,288,UPDATE,yes,low
platform-companies,server/services/CompanyService.sequelize.js,317,UPDATE,yes,low
hr-core,server/seed.js,452,UPDATE,yes,low
hr-core,server/seed.js,456,UPDATE,yes,low
hr-core,server/seed.js,460,UPDATE,yes,low
data-retention,server/services/dataRetentionService.js,286,DELETE,no,high
data-retention,server/services/dataRetentionService.js,593,DELETE,no,high
reports,server/modules/reports/models/reportExport.model.js,334,DELETE,no,medium
platform-tenants,server/platform/tenants/services/tenantService.sequelize.js,190,DELETE,yes,low
hr-core,server/modules/hr-core/requests/controllers/permissionRequest.controller.js,373,DELETE,no,high
platform-system,server/platform/system/models/licenseAudit.model.js,430,DELETE,no,medium
hr-core-backup,server/modules/hr-core/backup/services/backupScheduler.service.js,366,DELETE,no,medium
hr-core-backup,server/modules/hr-core/backup/services/backupService.js,132,DELETE,no,high
hr-core-attendance,server/modules/hr-core/attendance/controllers/forgetCheck.controller.js,244,DELETE,no,medium
hr-core-attendance,server/modules/hr-core/attendance/controllers/attendanceDevice.controller.js,223,DELETE,no,medium
documents,server/modules/documents/services/DocumentService.sequelize.js,143,DELETE,yes,low
documents,server/modules/documents/controllers/hardcopy.controller.js,294,DELETE,no,medium
platform-companies,server/platform/companies/controllers/companyController.js,449,DELETE,yes,low
clinic,server/modules/clinic/services/clinicService.js,166,DELETE,no,medium
clinic,server/modules/clinic/services/prescriptionService.sequelize.js,282,DELETE,no,medium
clinic,server/modules/clinic/services/visitService.sequelize.js,155,DELETE,no,medium
cli,server/cli/hr-cli.js,120,DELETE,no,medium
platform-companies,server/platform/companies/services/companyService.js,196,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,203,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,210,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,217,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,224,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,231,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,238,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,245,SELECT,yes,high
platform-companies,server/platform/companies/services/companyService.js,382,SELECT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,565,SELECT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,569,SELECT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,619,SELECT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,623,SELECT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,638,INSERT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,645,INSERT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,651,INSERT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,657,INSERT,yes,medium
platform-companies,server/platform/companies/services/companyService.js,638-657,INSERT,yes,high
platform-companies,server/platform/companies/services/companyService.js,196-245,SELECT,yes,high
hr-core-backup,server/modules/hr-core/backup/services/backupService.js,124-148,DELETE+INSERT,no,high
data-retention,server/services/dataRetentionService.js,266-288,SELECT+DELETE,no,high
email-service,server/utils/emailGenerator.js,222,SELECT,no,medium
alerts,server/services/alertSystem.service.js,141-159,UPDATE,no,medium
compliance,server/services/complianceReportingService.js,131-695,SELECT,no,high
security,server/services/securityEventTracking.service.js,244,SELECT,no,medium
system,server/modules/system/models/backupLog.model.js,283-327,SELECT,no,medium
system,server/modules/system/models/performanceMetrics.model.js,146,SELECT,no,medium
system,server/modules/system/models/systemAlerts.model.js,307-325,SELECT,no,medium
reports,server/modules/reports/models/reportExecution.model.js,235-276,SELECT,no,medium
reports,server/modules/reports/models/reportExport.model.js,326-386,SELECT,no,medium
reports,server/modules/reports/models/reportConfig.model.js,300,SELECT,no,medium
reports,server/modules/reports/models/report.model.js,254-293,SELECT,no,medium
platform-system,server/platform/system/models/securityAudit.model.js,153-213,SELECT,no,medium
platform-system,server/platform/system/models/permissions.model.js,152-180,SELECT,no,medium
